x, y, z
0.8353510895883778, 0.0881542699724518, 9
0.7457627118644068, 0.19008264462809918, 6
0.3898305084745763, 0.9862258953168044, 8
-0.22760290556900728, 0.7988980716253444, 6
0.10411622276029056, 0.7988980716253444, 9
0.26876513317191286, 0.559228650137741, 8
0.32929782082324455, 0.19008264462809918, 8
-0.4285714285714286, 0.6143250688705234, 6
-0.5738498789346247, 0.4380165289256198, 7
-0.7506053268765134, 0.21487603305785125, 8
-0.10653753026634383, 0.6804407713498623, 7
0.648910411622276, -0.11294765840220386, 8
0, -0.2396694214876033, 8
-1.152542372881356, -0.837465564738292, 9
-0.2784503631961259, -0.7272727272727273, 9
